date,header,name,odds_order,odds_name,odds,odds_enabled
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-04T12:20:25.781299,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Kotleba Marian,5500.0,áno,5500.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Danko Andrej,5500.0,áno,5500.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Náhlik Milan,6000.0,áno,6000.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Matovič Igor,4000.0,áno,4000.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Dubovský Patrik,5500.0,áno,5500.0,True
2024-03-04T20:17:05.086808,Celkovo - Víťaz,Švec Róbert,6000.0,áno,6000.0,True
2024-03-05T04:17:37.188776,Celkovo - Víťaz,Pellegrini Peter,1.55,áno,1.55,True
2024-03-05T04:17:37.188776,Celkovo - Víťaz,Korčok Ivan,2.4,áno,2.4,True
2024-03-05T04:17:37.188776,Celkovo - Víťaz,Kubiš Ján,5000.0,áno,5000.0,True
2024-03-05T04:17:37.188776,Celkovo - Víťaz,Harabin Štefan,200.0,áno,200.0,True
2024-03-05T04:17:37.188776,Celkovo - Víťaz,Forró Krisztián,5000.0,áno,5000.0,True
